producto,insumo,cantidad
Torta de chocolate,harina,400
Torta de chocolate,azúcar,300
Torta de chocolate,cacao,100
Torta de chocolate,huevos,4
Torta de chocolate,mantequilla,200
Mini cupcakes de vainilla,harina,250
Mini cupcakes de vainilla,azúcar,200
Mini cupcakes de vainilla,huevos,3
Mini cupcakes de vainilla,esencia de vainilla,10
Mini cupcakes de vainilla,mantequilla,150
Cheesecake de maracuyá,galletas,200
Cheesecake de maracuyá,mantequilla,100
Cheesecake de maracuyá,queso crema,400
Cheesecake de maracuyá,azúcar,150
Cheesecake de maracuyá,maracuyá,200
